CVEGEO,Nombre
26001,Aconchi
26002,Agua Prieta
26003,Alamos
26004,Altar
26005,Arivechi
26006,Arizpe
26007,Atil
26008,BacadA(c)huachi
26009,Bacanora
26010,Bacerac
26011,Bacoachi
26012,BA!cum
26013,BanA!michi
26014,BaviA!cora
26015,Bavispe
26016,BenjamAn Hill
26017,Caborca
26018,Cajeme
26019,Cananea
26020,CarbA3
26021,La Colorada
26022,Cucurpe
26023,Cumpas
26024,Divisaderos
26025,Empalme
26026,Etchojoa
26027,Fronteras
26028,Granados
26029,Guaymas
26030,Hermosillo
26031,Huachinera
26032,HuA!sabas
26033,Huatabampo
26034,HuA(c)pac
26035,Imuris
26036,Magdalena
26037,MazatA!n
26038,Moctezuma
26039,Naco
26040,NA!cori Chico
26041,Nacozari de GarcAa
26042,Navojoa
26043,Nogales
26044,Onavas
26045,Opodepe
26046,Oquitoa
26047,Pitiquito
26048,Puerto PeA+-asco
26049,Quiriego
26050,RayA3n
26051,Rosario
26052,Sahuaripa
26053,San Felipe de JesAos
26054,San Javier
26055,San Luis RAo Colorado
26056,San Miguel de Horcasitas
26057,San Pedro de la Cueva
26058,Santa Ana
26059,Santa Cruz
26060,SA!ric
26061,Soyopa
26062,Suaqui Grande
26063,Tepache
26064,Trincheras
26065,Tubutama
26066,Ures
26067,Villa Hidalgo
26068,Villa Pesqueira
26069,YA(c)cora
26070,General Plutarco ElAas Calles
26071,Benito JuA!rez
26072,San Ignacio RAo Muerto
